"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_up","N","I","R","S"
"20753","Macon",2021-07-04,34813,0,68.8455134265101,34813,0,23967.188589171,10845.811410829
"20754","Macon",2021-07-05,34813,0,68.8979602863176,34813,0,23985.4469144758,10827.5530855242
"20755","Macon",2021-07-06,34813,0,68.949990766243,34813,0,24003.5602854522,10809.4397145478
"20756","Macon",2021-07-07,34813,0,69.0016048662846,34813,0,24021.5287020997,10791.4712979003
"20757","Macon",2021-07-08,34813,0,69.0528025864406,34813,0,24039.3521644176,10773.6478355824
"20758","Macon",2021-07-09,34813,0,69.1021810382144,34813,0,24056.5422848336,10756.4577151664
"20759","Macon",2021-07-10,34813,0,69.1497402216295,34813,0,24073.0990633559,10739.9009366441
"20760","Macon",2021-07-11,34813,153.846153846154,69.6374017000041,34813,153.846153846154,24089.0224999763,10570.1313461776
"20761","Macon",2021-07-12,34813,0,69.6813223466513,34813,0,24258.1587485397,10554.8412514603
"20762","Macon",2021-07-13,34813,0,69.7234237249143,34813,0,24272.8155013544,10540.1844986456
"20763","Macon",2021-07-14,34813,0,69.7637058348187,34813,0,24286.8389122754,10526.1610877246
"20764","Macon",2021-07-15,34813,0,69.8021686763408,34813,0,24300.2289812945,10512.7710187055
"20765","Macon",2021-07-16,34813,0,69.8429260959837,34813,0,24314.4178617948,10498.5821382052
"20766","Macon",2021-07-17,34813,0,69.885978093771,34813,0,24329.4055537845,10483.5944462155
"20767","Macon",2021-07-18,34813,307.692307692308,70.8151677963626,34813,307.692307692308,24345.1920572554,10160.1156350523
"20768","Macon",2021-07-19,34813,0,70.8628089503916,34813,0,24669.4696798998,10143.5303201002
"20769","Macon",2021-07-20,34813,0,70.9127446825649,34813,0,24686.8538063413,10126.1461936587
"20770","Macon",2021-07-21,34813,0,70.9649749928587,34813,0,24705.0367442639,10107.9632557361
"20771","Macon",2021-07-22,34813,615.384615384615,72.7871861346382,34813,615.384615384615,24724.018493667,9473.5968909484
"20772","Macon",2021-07-23,34813,0,72.8401012349938,34813,0,25357.8244429384,9455.17555706162
"20773","Macon",2021-07-24,34813,0,72.8914065472684,34813,0,25375.6853613005,9437.31463869946
"20774","Macon",2021-07-25,34813,461.538461538462,74.2668667614852,34813,461.538461538462,25392.9858641374,8958.47567432416
"20775","Macon",2021-07-26,34813,0,74.3149524975963,34813,0,25871.2644129882,8941.73558701182
"20776","Macon",2021-07-27,34813,0,74.3614284456263,34813,0,25887.4440847759,8925.5559152241
"20777","Macon",2021-07-28,34813,0,74.4062946055738,34813,0,25903.0633410384,8909.93665896157
"20778","Macon",2021-07-29,34813,307.692307692308,75.3333941041238,34813,307.692307692308,25918.1221817763,8587.18551053138
"20779","Macon",2021-07-30,34813,0,75.3794876458721,34813,0,26241.8610341575,8571.13896584253
"20780","Macon",2021-07-31,34813,0,75.4284183575026,34813,0,26258.8952827974,8554.10471720263
"20781","Macon",2021-08-01,34813,307.692307692308,76.364029365673,34813,307.692307692308,26276.9172353794,8228.39045692827
"20782","Macon",2021-08-02,34813,0,76.4186344170417,34813,0,26603.6191996047,8209.38080039526
"20783","Macon",2021-08-03,34813,0,76.476076638269,34813,0,26623.6165600806,8189.38343991941
"20784","Macon",2021-08-04,34813,0,76.5363560293761,34813,0,26644.6016245067,8168.3983754933
"20785","Macon",2021-08-05,34813,0,76.5994725903653,34813,0,26666.5743928839,8146.42560711615
"20786","Macon",2021-08-06,34813,0,76.6654250495653,34813,0,26689.5344225052,8123.46557749484
"20787","Macon",2021-08-07,34813,0,76.7342134069997,34813,0,26713.4817133788,8099.51828662121
"20788","Macon",2021-08-08,34813,461.538461538462,78.1316023526957,34813,461.538461538462,26738.4162655055,7613.04527295606
"20789","Macon",2021-08-09,34813,0,78.2060625066009,34813,0,27225.876540423,7587.12345957704
"20790","Macon",2021-08-10,34813,0,78.2833585587405,34813,0,27252.7856150543,7560.21438494568
"20791","Macon",2021-08-11,34813,0,78.3634905091144,34813,0,27280.681950938,7532.31804906199
"20792","Macon",2021-08-12,34813,307.692307692308,79.3303014844063,34813,307.692307692308,27309.5655480741,7195.74214423364
"20793","Macon",2021-08-13,34813,0,79.4199362417225,34813,0,27648.4624038309,7164.53759616914
"20794","Macon",2021-08-14,34813,0,79.5160589356836,34813,0,27681.9255972795,7131.07440272046
"20795","Macon",2021-08-15,34813,153.846153846154,80.0606054473966,34813,153.846153846154,27717.652420556,6941.50142559783
