"","COUNTY","DATE","Population","death_est_total_inf","death_inf_vacc_obs_imm_lower","N","I","R","S"
"23235","Moore",2021-03-03,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23236","Moore",2021-03-04,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23237","Moore",2021-03-05,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23238","Moore",2021-03-06,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23239","Moore",2021-03-07,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23240","Moore",2021-03-08,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23241","Moore",2021-03-09,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23242","Moore",2021-03-10,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23243","Moore",2021-03-11,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23244","Moore",2021-03-12,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23245","Moore",2021-03-13,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23246","Moore",2021-03-14,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23247","Moore",2021-03-15,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23248","Moore",2021-03-16,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23249","Moore",2021-03-17,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23250","Moore",2021-03-18,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23251","Moore",2021-03-19,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23252","Moore",2021-03-20,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23253","Moore",2021-03-21,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23254","Moore",2021-03-22,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23255","Moore",2021-03-23,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23256","Moore",2021-03-24,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23257","Moore",2021-03-25,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23258","Moore",2021-03-26,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23259","Moore",2021-03-27,97294,0,29.7275031585472,97294,0,28923.0769230769,68370.9230769231
"23260","Moore",2021-03-28,97294,307.692307692308,30.0437531921488,97294,307.692307692308,28923.0769230769,68063.2307692308
"23261","Moore",2021-03-29,97294,0,30.0437531921488,97294,0,29230.7692307692,68063.2307692308
"23262","Moore",2021-03-30,97294,0,30.0437531921488,97294,0,29230.7692307692,68063.2307692308
